f_25,f_18,f_22,f_24,f_13,f_14,f_19,f_0,f_15,f_11,f_9,f_12,f_10,f_21,f_8,f_2,f_3,f_7,f_20,f_16,f_6,f_26,f_23,f_4,f_17,f_5,f_1
1,1,3,3,20990,2,1,False,False,Married,Sales Representative,3931,2,5,1,Sales,4,3,6,11,3,2,4,2,3,Life Sciences,Travel_Rarely
0,2,3,0,24052,4,1,False,False,Married,Laboratory Technician,4841,2,3,1,Research & Development,2,2,4,14,3,0,1,3,3,Medical,Travel_Rarely
0,1,3,0,4267,5,2,False,False,Divorced,Sales Executive,4306,3,5,2,Sales,29,3,8,12,1,0,0,2,3,Medical,Travel_Rarely
0,2,4,4,8863,1,0,False,False,Married,Sales Executive,4221,3,3,2,Sales,4,3,5,15,2,4,5,3,3,Medical,Non-Travel
0,2,2,3,13684,0,1,False,True,Divorced,Sales Executive,4907,3,3,2,Sales,8,3,6,22,1,4,5,2,4,Other,Travel_Rarely
1,2,4,5,18869,3,0,False,False,Single,Manufacturing Director,10221,3,3,3,Research & Development,7,3,17,21,3,6,8,3,4,Other,Travel_Rarely
1,1,3,2,15238,7,1,False,False,Married,Laboratory Technician,2258,4,1,1,Research & Development,21,3,8,20,4,2,3,3,4,Medical,Travel_Frequently
0,1,3,0,2561,5,1,False,False,Divorced,Laboratory Technician,2835,4,2,1,Research & Development,3,3,7,22,1,0,1,2,4,Life Sciences,Travel_Rarely
0,4,3,2,19630,1,0,False,False,Single,Research Scientist,3505,3,3,1,Research & Development,10,4,2,18,1,2,2,1,3,Medical,Travel_Rarely
1,1,3,4,12430,3,0,False,False,Single,Research Scientist,3038,3,2,1,Research & Development,6,3,8,20,3,4,5,5,4,Life Sciences,Travel_Rarely
0,4,1,6,19170,1,1,False,True,Married,Healthcare Representative,4014,4,2,2,Research & Development,21,3,10,25,4,7,10,1,4,Life Sciences,Travel_Rarely
1,2,1,3,23402,3,1,False,True,Divorced,Healthcare Representative,9439,4,2,3,Research & Development,24,4,12,16,3,4,5,2,3,Life Sciences,Travel_Rarely
6,3,3,9,18659,9,0,False,False,Married,Sales Executive,4717,3,2,2,Sales,1,3,15,11,2,9,11,3,3,Marketing,Travel_Rarely
0,2,1,0,3156,1,0,False,False,Single,Manager,17567,1,5,4,Sales,1,4,27,15,4,12,26,4,3,Life Sciences,Travel_Rarely
14,4,2,15,3395,3,1,False,False,Married,Healthcare Representative,10748,3,3,3,Research & Development,1,2,25,23,3,4,23,1,4,Life Sciences,Non-Travel
7,2,3,4,8392,6,1,False,False,Married,Sales Executive,10686,3,4,3,Sales,2,2,13,11,3,0,9,4,3,Life Sciences,Travel_Rarely
7,1,3,7,22930,0,0,True,True,Single,Healthcare Representative,7553,4,1,3,Research & Development,14,3,9,12,3,7,8,1,3,Other,Travel_Frequently
7,3,3,7,11740,2,2,True,True,Married,Sales Representative,2655,3,3,1,Sales,7,3,19,11,4,7,9,2,3,Medical,Travel_Frequently
2,4,2,2,22822,3,0,False,False,Single,Manager,18947,1,2,5,Sales,2,3,22,12,2,1,2,4,3,Marketing,Travel_Rarely
1,4,3,5,22794,1,1,False,True,Married,Research Scientist,3622,4,3,1,Research & Development,1,2,6,13,2,3,6,2,3,Life Sciences,Travel_Rarely
0,4,2,2,15053,0,2,False,True,Divorced,Research Scientist,3298,2,5,1,Research & Development,5,4,7,12,1,5,6,2,3,Life Sciences,Travel_Rarely
0,4,3,7,23577,0,0,False,False,Single,Laboratory Technician,3578,1,2,1,Research & Development,7,4,8,12,3,7,7,3,3,Other,Travel_Rarely
1,1,3,2,10322,0,0,True,True,Single,Research Scientist,2321,1,0,1,Research & Development,9,2,4,22,3,2,3,2,4,Medical,Non-Travel
4,1,2,8,4821,0,1,False,True,Married,Healthcare Representative,6586,4,2,2,Research & Development,14,3,17,17,3,11,16,1,3,Life Sciences,Travel_Rarely
0,1,2,3,16928,1,1,False,False,Married,Sales Executive,4649,3,3,2,Sales,2,3,4,14,4,2,4,3,3,Life Sciences,Non-Travel
1,1,4,6,10084,1,0,False,False,Married,Manager,16856,1,3,4,Sales,3,2,34,11,3,16,34,4,3,Marketing,Travel_Rarely
0,1,3,0,19555,1,0,True,False,Married,Human Resources,2863,2,2,1,Human Resources,22,2,1,12,1,0,1,3,3,Human Resources,Travel_Frequently
0,2,2,0,7858,7,1,True,False,Divorced,Laboratory Technician,4834,3,3,2,Research & Development,15,3,9,14,1,0,1,3,3,Other,Travel_Rarely
4,3,2,6,5594,2,1,False,False,Married,Manager,16307,3,2,4,Sales,26,3,29,14,1,17,20,4,3,Marketing,Travel_Rarely
6,2,3,7,14810,1,1,False,True,Married,Healthcare Representative,7879,4,2,3,Research & Development,2,4,9,19,3,7,8,3,3,Life Sciences,Travel_Rarely
0,2,3,0,3687,2,2,False,False,Married,Sales Executive,6644,2,2,2,Sales,2,2,10,19,1,0,0,3,3,Medical,Travel_Rarely
1,1,2,7,25549,4,1,False,False,Married,Healthcare Representative,4335,3,3,2,Research & Development,27,3,11,12,2,1,8,3,3,Medical,Travel_Rarely
0,1,3,0,19002,2,3,True,False,Married,Sales Executive,8161,3,2,3,Sales,16,3,10,13,1,0,1,4,3,Marketing,Travel_Rarely
0,2,3,2,25103,1,1,True,True,Divorced,Sales Representative,2275,4,2,1,Sales,7,3,3,21,3,2,3,3,4,Life Sciences,Travel_Rarely
0,1,3,0,22589,1,2,False,False,Married,Sales Executive,5476,4,2,2,Sales,5,3,10,11,1,2,10,4,3,Life Sciences,Travel_Rarely
1,4,3,11,15717,7,3,False,True,Divorced,Research Scientist,5329,4,3,2,Research & Development,6,1,17,12,2,9,13,3,3,Medical,Non-Travel
1,4,3,3,11162,0,0,False,False,Single,Laboratory Technician,2720,4,3,1,Research & Development,2,2,6,13,2,2,5,1,3,Medical,Travel_Rarely
0,2,2,3,9731,2,1,False,True,Married,Manufacturing Director,13247,3,3,4,Research & Development,28,4,24,11,4,2,5,2,3,Medical,Travel_Frequently
9,1,2,9,8828,0,1,False,False,Married,Sales Executive,12031,4,2,4,Sales,24,2,21,11,2,6,20,1,3,Marketing,Travel_Rarely
8,2,3,8,15869,1,0,False,False,Single,Sales Executive,9241,3,3,3,Sales,6,3,10,12,4,7,10,3,3,Marketing,Travel_Rarely
3,1,2,10,10942,0,3,False,False,Divorced,Healthcare Representative,9613,4,5,3,Research & Development,1,4,19,17,3,7,18,3,3,Medical,Travel_Rarely
0,4,2,2,22308,4,3,False,True,Married,Manufacturing Director,12965,3,2,4,Research & Development,1,2,27,20,1,2,3,4,4,Medical,Non-Travel
12,4,3,7,16840,6,0,False,False,Single,Sales Executive,8865,4,2,3,Sales,6,2,23,12,4,8,19,3,3,Medical,Non-Travel
0,3,3,0,23785,1,0,False,False,Single,Laboratory Technician,2871,4,5,1,Research & Development,15,3,1,15,2,0,0,3,3,Medical,Travel_Rarely
7,4,3,7,3835,2,3,False,False,Married,Manufacturing Director,5377,1,3,2,Research & Development,10,3,10,13,2,7,7,5,3,Medical,Travel_Rarely
0,4,3,2,14180,2,1,True,True,Divorced,Laboratory Technician,2373,2,2,1,Research & Development,16,3,5,13,1,2,3,4,3,Medical,Travel_Rarely
9,3,2,8,25812,1,0,True,False,Married,Sales Executive,10400,4,2,3,Sales,4,1,14,11,4,8,14,4,3,Medical,Travel_Rarely
5,3,3,6,20364,7,0,False,False,Single,Manufacturing Director,13237,3,3,4,Research & Development,6,3,22,15,2,13,20,3,3,Life Sciences,Travel_Rarely
1,1,3,1,7703,1,0,False,False,Single,Laboratory Technician,2153,4,2,1,Research & Development,18,3,8,13,2,7,8,1,3,Medical,Travel_Frequently
0,3,3,4,26376,1,0,False,False,Married,Sales Representative,2096,3,1,1,Sales,13,3,7,11,2,6,7,1,3,Medical,Travel_Rarely
0,1,3,0,24852,1,0,True,False,Single,Laboratory Technician,1393,2,2,1,Research & Development,2,3,1,12,4,0,1,4,3,Life Sciences,Travel_Rarely
2,4,3,2,21922,9,1,False,False,Married,Manager,18844,4,3,5,Human Resources,2,2,30,21,3,2,3,4,4,Human Resources,Non-Travel
1,3,3,4,11262,1,1,False,False,Married,Sales Executive,4639,1,2,2,Sales,14,3,5,15,4,2,5,2,3,Life Sciences,Travel_Rarely
12,2,3,14,13084,2,0,False,False,Single,Healthcare Representative,8633,3,3,3,Research & Development,25,3,25,23,1,11,17,3,4,Medical,Travel_Rarely
0,3,4,0,18437,1,0,True,False,Single,Human Resources,2564,4,3,1,Human Resources,2,2,1,12,1,0,1,2,3,Technical Degree,Travel_Rarely
1,4,3,1,24440,1,1,False,False,Married,Research Scientist,2244,2,1,1,Research & Development,11,3,2,13,1,2,2,3,3,Medical,Travel_Rarely
0,2,3,2,18725,3,2,False,False,Married,Laboratory Technician,2075,4,4,1,Research & Development,9,3,10,23,4,3,4,4,4,Life Sciences,Travel_Rarely
2,4,3,11,12250,1,1,False,False,Married,Healthcare Representative,4148,3,5,2,Research & Development,8,3,15,12,3,9,14,4,3,Life Sciences,Non-Travel
0,1,3,7,24920,0,1,False,False,Married,Sales Executive,6347,3,3,2,Sales,1,3,19,12,4,13,18,3,3,Life Sciences,Non-Travel
0,4,3,0,16102,1,0,False,False,Single,Laboratory Technician,1483,2,3,1,Research & Development,3,3,1,14,2,0,1,1,3,Medical,Travel_Rarely
0,3,3,0,18787,2,1,False,False,Divorced,Research Scientist,9724,1,2,3,Research & Development,7,3,25,17,2,0,1,3,3,Life Sciences,Travel_Rarely
3,3,2,7,11864,0,0,False,False,Single,Laboratory Technician,3068,4,2,1,Research & Development,2,3,8,13,4,6,7,2,3,Life Sciences,Travel_Frequently
4,3,3,4,19225,0,0,False,False,Single,Laboratory Technician,4230,3,2,1,Research & Development,22,1,6,15,4,3,5,3,3,Life Sciences,Travel_Rarely
0,1,3,0,9724,1,0,False,False,Single,Sales Representative,1200,3,2,1,Sales,10,2,0,12,4,0,0,3,3,Medical,Travel_Rarely
2,1,3,2,12069,0,0,False,False,Married,Sales Executive,4465,4,2,2,Sales,26,3,4,18,3,2,3,4,3,Marketing,Non-Travel
2,1,2,9,2721,0,1,False,False,Married,Research Scientist,4900,3,2,2,Research & Development,1,4,13,24,2,8,12,2,4,Life Sciences,Travel_Rarely
2,1,2,0,3020,2,1,True,True,Married,Research Scientist,2293,4,2,1,Research & Development,1,3,6,16,2,0,2,3,3,Medical,Travel_Rarely
